"","x"
"2651","heystacy w of wi wants you to support netneutrality not big cable"
"2652","netneutrality rules are an affront to free speech giving the administration not u control of how u access info htt"
"2653","heystan l of pa wants to know why you arent siding with millions on netneutrality"
"2654","no netneutrality issue in cheaper access facebook lite is a stripped down android app for the developing world"
"2655","heyandy m of ny sez netneutrality should not be partisan its about innovation"
"2656","heychris m of ri wants to know why you arent siding with millions on netneutrality"
"2657","netneutrality rules are an affront to free speech giving the administration not u control of how u access info htt"
"2658","heyray h of ga sez conservative voters support netneutrality why dont you"
"2659","heyjohn h of pa wants to know if you stand with big cable or support netneutrality"
"2660","free marketers dont shill for cable monopoliesjo h of ca sez support netneutrality"
"2661","netneutrality rules are an affront to free speech giving the administration not u control of how u access info"
"2662","marko c of 
 sez side with the public on netneutralitynot big cable"
"2663","heyilene m of ca sez fast lanes hurt innovation support netneutrality"
"2664","fast lanes hurt innovationjim t of ca sez support netneutrality"
"2665","heyangela m of co sez netneutrality is the only way for a free market of internet services"
"2666","heygiavanni v of fl sez strong netneutrality enables innovation"
"2667","is only a few weeks awaywill speak on the netneutrality ceo roundtable on"
"2668","heymae b of nc sez you should side with the public on netneutrality not big cable"
"2669","heystuart b of wa wants to know why you arent siding with millions on netneutrality"
"2670","how does netneutrality relate to sustainability joinandat"
"2671","heydan o of wa sez conservative voters support netneutrality why dont you"
"2672","heyconstance s of ca sez free marketers dont shill for cable monopolies netneutrality"
"2673","week until jadehelmdays until netneutrality nonetneutrality killuminati"
"2674","heycamille g of ca sez conservative voters support netneutrality why dont you"
"2675","conservative voters support netneutralitymiguel c of nj wants to know why you dont too"
"2676","heygerald t of tx wants you to support netneutrality not big cable"
"2677","heydennis g of or sez netneutrality is the only way for a free market of internet services"
"2678","heycelia r of ca sez conservative voters support netneutrality why dont you"
"2679","free marketers dont shill for cable monopoliesedith c of ma sez support netneutrality"
"2680","over the weekend i took my son to see the internet netneutrality parenting"
"2681","heynichole b of wa wants to know if you stand with big cable or support netneutrality"
"2682","regina g of or wants you to support netneutralitynot big cable"
"2683","readhow the definition of netneutrality has been soundbyted to be meaningless even by pronn standards"
"2684","do you stand with big cable or support netneutralitylouis r of ma wants to know"
"2685","heymelissa k of ga sez you should side with the public on netneutrality not big cable"
"2686","heysarah g j of mi wants to know if you stand with big cable or support netneutrality"
"2687","is only a few weeks awaywill speak on the netneutrality ceo roundtable on"
"2688","heymeade m of ok sez netneutrality should not be partisan its about innovation"
"2689","is only a few weeks awaywill speak on the netneutrality ceo roundtable on"
"2690","when regulatory processes collide the consumer losesinon netneutrality policy in india"
"2691","heyscott l of or sez strong netneutrality enables innovation"
"2692","heynikki s of ca sez free marketers dont shill for cable monopolies netneutrality"
"2693","richard g of nj wants you to support netneutralitynot big cable"
"2694","is only a few weeks awaywill speak on the netneutrality ceo roundtable on"
"2695","heymichael a b of ma sez free marketers dont shill for cable monopolies netneutrality"
"2696","heykirman t of wa sez netneutrality is the only way for a free market of internet services"
"2697","is only a few weeks awaywill speak on the netneutrality ceo roundtable on"
"2698","heykai m of ca sez big cable gets billions in subsidies stand with the people netneutrality"
"2699","do you stand with big cable or support netneutralitykati k of ca wants to know"
"2700","is only a few weeks awaywill speak on the netneutrality ceo roundtable on"
"2701","is only a few weeks awaywill speak on the netneutrality ceo roundtable on"
"2702","heymarilyn s of co wants to know why you arent siding with millions on netneutrality"
"2703","free marketers dont shill for cable monopoliessteven k of ny sez support netneutrality"
"2704","jon g of ne sez side with the public on netneutralitynot big cable"
"2705","is only a few weeks awaywill speak on the netneutrality ceo roundtable on"
"2706","wanda s of or wants you to support netneutralitynot big cable"
"2707","conservative voters support netneutralityrobert t of ca wants to know why you dont too"
"2708","is only a few weeks awaywill speak on the netneutrality ceo roundtable on"
"2709","fast lanes hurt innovationtheresa h of wi sez support netneutrality"
"2710","do you stand with big cable or support netneutralitydon d of ny wants to know"
"2711","heyadam g of tx sez conservative voters support netneutrality why dont you"
"2712","richard l of mn sez side with the public on netneutralitynot big cable"
"2713","heystan s of pa wants to know why you arent siding with millions on netneutrality"
"2714","so whats goinghappen to indian telcos when google loon project brings free internet to everyone"
"2715","heymichael e s of ny sez netneutrality should not be partisan its about innovation"
"2716","heyanthony m of il sez big cable gets billions in subsidies stand with the people netneutrality"
"2717","heyrichard p of or wants to know why you arent siding with millions on netneutrality"
"2718","do you stand with big cable or support netneutralityjane c of pa wants to know"
"2719","heykaren k of il wants to know if you stand with big cable or support netneutrality"
"2720","jean c of ga wants you to support netneutralitynot big cable"
"2721","jeanne g of in sez side with the public on netneutralitynot big cable"
"2722","heyphilip r of co wants you to support netneutrality not big cable"
"2723","harold d of fl sez side with the public on netneutralitynot big cable"
"2724","fast lanes hurt innovationjoseph m of az sez support netneutrality"
"2725","do you stand with big cable or support netneutralitylance h of ia wants to know"
"2726","free marketers dont shill for cable monopoliessteven h of ca sez support netneutrality"
"2727","indias telecom sector watchdog said us european union and japan are veering towards netneutralityyour thoughts http"
"2728","conservative voters support netneutralitytim k of mo wants to know why you dont too"
"2729","heymary s of wa wants you to support netneutrality not big cable"
"2730","heysherrie m of mi sez fast lanes hurt innovation support netneutrality"
"2731","conservative voters support netneutralityjonathan w of fl wants to know why you dont too"
"2732","heysweet i of nh wants to know why you arent siding with millions on netneutrality"
"2733","heyharold w of mo sez big cable gets billions in subsidies stand with the people netneutrality"
"2734","do you stand with big cable or support netneutralitygeynell e of md wants to know"
"2735","titleii puts openinternet in legal peril congress must act on netneutrality rules"
"2736","rt brusselsgeek eu digichief to meet ministers and sort out the netneutrality thingvia theregister"
"2737","fcc is using merger review to impose titleii conditions oneven if therules lose in court"
"2738","heygarry s of wa sez netneutrality should not be partisan its about innovation"
"2739","yeah i recently read about it the govts decision in india is still pending hoping it rules in favor of netneutrality"
"2740","heygail k of ri sez strong netneutrality enables innovation"
"2741","heynaomi p of mi sez big cable gets billions in subsidies stand with the people netneutrality"
"2742","eu digichief to meet ministers and sort out the netneutrality thing"
"2743","scott s of mi wants you to support netneutralitynot big cable"
"2744","heypeter r of nm sez you should side with the public on netneutrality not big cable"
"2745","melvin t of ca sez side with the public on netneutralitynot big cable"
"2746","eu digichief to meet ministers and sort out the netneutrality thing"
"2747","eu digichief to meet ministers and sort out the netneutrality thing"
"2748","susan l of ny wants you to support netneutralitynot big cable"
"2749","heygreg n of ny wants to know if you stand with big cable or support netneutrality"
"2750","meps council deadlocked over eu telco lawsnetneutrality roaming"
"2751","heyelaine c of ny wants you to support netneutrality not big cable"
"2752","eu digichief to meet ministers and sort out the netneutrality thing"
"2753","heymarylucia a of ca wants to know why you arent siding with millions on netneutrality"
"2754","heyjon n of ca wants you to support netneutrality not big cable"
"2755","we support netneutrality"
"2756","heymichelle l of az sez you should side with the public on netneutrality not big cable"
"2757","james f of va wants you to support netneutralitynot big cable"
"2758","eu digichief to meet ministers and sort out the netneutrality thing"
"2759","heyglen b of wa sez big cable gets billions in subsidies stand with the people netneutrality"
"2760","eu digichief to meet ministers and sort out the netneutrality thing"
"2761","do you stand with big cable or support netneutralityangela g of ca wants to know"
"2762","hmmm thispsalooks very similar to our netneutrality psa we created last year"
"2763","heychris h of ca sez conservative voters support netneutrality why dont you"
"2764","netneutrality rules investment leaves us as atampt looks to join brazil spectrumauction"
"2765","netneutrality rules investment leaves us as atampt looks to join brazil spectrumauction"
"2766","eu parliament must standnetneutralityeu commission tries to rip citizens off net neutrality"
"2767","john b of ia wants you to support netneutralitynot big cable"
"2768","hmmm thispsalooks very similar to our netneutrality psa we created last year"
"2769","heyrobert c of ms sez you should side with the public on netneutrality not big cable"
"2770","netneutrality rules investment leaves us as atampt looks to join brazil spectrumauction"
"2771","heyrobert b of tn sez big cable gets billions in subsidies stand with the people netneutrality"
"2772","conservative voters support netneutralityjanett o of id wants to know why you dont too"
"2773","heykirk b of nm wants you to support netneutrality not big cable"
"2774","conservative voters support netneutralitysteven m of nj wants to know why you dont too"
"2775","derek t of la sez side with the public on netneutralitynot big cable"
"2776","heybetty o of or sez netneutrality is the only way for a free market of internet services"
"2777","heymitchell d of ca wants to know why you arent siding with millions on netneutrality"
"2778","heytaylor m of nm sez conservative voters support netneutrality why dont you"
"2779","gregg j of mn sez side with the public on netneutralitynot big cable"
"2780","rtoutlawtecjournohow the netneutrality debate could influence the internetofthings and telecoms investmen"
"2781","heyleslie c of ny wants to know why you arent siding with millions on netneutrality"
"2782","how the netneutrality debate could influence the internetofthings and telecoms investment"
"2783","heyshane b of ca wants to know why you arent siding with millions on netneutrality"
"2784","heytyler s of ca sez free marketers dont shill for cable monopolies netneutrality"
"2785","james c of ca wants you to support netneutralitynot big cable"
"2786","heyamy d of fl sez fast lanes hurt innovation support netneutrality"
"2787","conservative voters support netneutralityedward r of ca wants to know why you dont too"
"2788","heypaul a of pa sez big cable gets billions in subsidies stand with the people netneutrality"
"2789","jim d of mt sez side with the public on netneutralitynot big cable"
"2790","heyheejae y of 
 sez fast lanes hurt innovation support netneutrality"
"2791","darcy h of oh wants you to support netneutralitynot big cable"
"2792","conservative voters support netneutralitygreat whiteof fl wants to know why you dont too"
"2793","heydarcy g of ne wants to know if you stand with big cable or support netneutrality"
"2794","heykhristian t of pa wants to know if you stand with big cable or support netneutrality"
"2795","heymark t of il sez big cable gets billions in subsidies stand with the people netneutrality"
"2796","heyvernon e of fl sez netneutrality should not be partisan its about innovation"
"2797","eu parliament must standnetneutralityeu commission tries to rip citizens off net neutrality"
"2798","heymichael b of ca sez free marketers dont shill for cable monopolies netneutrality"
"2799","heystephen s of mi sez you should side with the public on netneutrality not big cable"
"2800","mac g of tx sez side with the public on netneutralitynot big cable"
"2801","heyjay m of fl sez netneutrality should not be partisan its about innovation"
"2802","dave b of wi sez side with the public on netneutralitynot big cable"
"2803","without netneutralityfor example might limit access to apps likethat compete with its music service wynk"
"2804","heysteven r of in sez netneutrality is the only way for a free market of internet services"
"2805","susan p of mi wants you to support netneutralitynot big cable"
"2806","panel report on netneutrality to be made public soonelets"
"2807","heyshawn h of la wants to know if you stand with big cable or support netneutrality"
"2808","netneutrality rules investment leaves us as atampt looks to join brazil spectrumauction"
"2809","heymax c of fl wants to know if you stand with big cable or support netneutrality"
"2810","heyjustin m of ga wants you to support netneutrality not big cable"
"2811","do you stand with big cable or support netneutralitykelley g of ky wants to know"
"2812","fast lanes hurt innovationjane s of fl sez support netneutrality"
"2813","heydeborah m of me wants to know if you stand with big cable or support netneutrality"
"2814","heyhelen c of il sez big cable gets billions in subsidies stand with the people netneutrality"
"2815","heymathew l of ca sez netneutrality should not be partisan its about innovation"
"2816","heymary louise b of ct wants to know why you arent siding with millions on netneutrality"
"2817","heylinda k of nv wants to know if you stand with big cable or support netneutrality"
"2818","heymichael g of ma sez fast lanes hurt innovation support netneutrality"
"2819","heythomas l of ca sez netneutrality is the only way for a free market of internet services"
"2820","heysister james marie g of ia sez you should side with the public on netneutrality not big cable"
"2821","netneutrality explained in my latest video columbus cbtv smallbusiness"
"2822","heyjohn k of ca sez strong netneutrality enables innovation"
"2823","heymario f of ny wants to know if you stand with big cable or support netneutrality"
"2824","eu commission tries to rip citizens off net neutralitynetneutrality"
"2825","heydon l of ma sez you should side with the public on netneutrality not big cable"
"2826","heym s of wa wants to know if you stand with big cable or support netneutrality"
"2827","heyjustin j of id wants you to support netneutrality not big cable"
"2828","heyleah t of wa sez strong netneutrality enables innovation"
"2829","conservative voters support netneutralitynicholas t of az wants to know why you dont too"
"2830","ulysses l of ma wants you to support netneutralitynot big cable"
"2831","the case against netneutralityon why markets and not govts should decide broadband speeds and quality"
"2832","the case against netneutralityon why markets and not govts should decide broadband speeds and quality"
"2833","heygael i of ak sez conservative voters support netneutrality why dont you"
"2834","heywalt b of il sez free marketers dont shill for cable monopolies netneutrality"
"2835","heyjillian s of fl sez fast lanes hurt innovation support netneutrality"
"2836","heyfrank p of ca wants to know if you stand with big cable or support netneutrality"
"2837","heyed and margaret t of wa sez strong netneutrality enables innovation"
"2838","heyh nick h of fl wants to know if you stand with big cable or support netneutrality"
"2839","heymarilyn p of ca sez free marketers dont shill for cable monopolies netneutrality"
"2840","heypaul h of ny sez netneutrality is the only way for a free market of internet services"
"2841","video interview christopher yoo spectrum coordination is key for europedsi netneutrality"
"2842","do you stand with big cable or support netneutralityjoan and joel c of pa wants to know"
"2843","free marketers dont shill for cable monopoliesrobert d of ny sez support netneutrality"
"2844","heyrobert l of ga wants you to support netneutrality not big cable"
"2845","heymark h of in wants you to support netneutrality not big cable"
"2846","eu parliament must standnetneutralityeu commission tries to rip citizens off net neutrality"
"2847","eve e of ga sez side with the public on netneutralitynot big cable"
"2848","the case against netneutralityon why markets and not govts should decide broadband speeds and quality"
"2849","heyanna b of wi wants you to support netneutrality not big cable"
"2850","heyj hoyt y of ga wants you to support netneutrality not big cable"
"2851","heybarbara k of ny sez strong netneutrality enables innovation"
"2852","russell r of pa wants you to support netneutralitynot big cable"
"2853","heyeleanor m of wa sez netneutrality should not be partisan its about innovation"
"2854","fast lanes hurt innovationcynthia b of ks sez support netneutrality"
"2855","panel report on netneutrality to be made public soonelets"
"2856","jon m of tx sez side with the public on netneutralitynot big cable"
"2857","heyderek s of ca sez fast lanes hurt innovation support netneutrality"
"2858","eu parliament must standnetneutralityeu commission tries to rip citizens off net neutrality"
"2859","heyjeff s of ma sez netneutrality is the only way for a free market of internet services"
"2860","heydebra b of or sez conservative voters support netneutrality why dont you"
"2861","this friday eu digichief hdot to meet ministers and sort out the netneutrality thingconnected"
"2862","heystacy w of nc sez free marketers dont shill for cable monopolies netneutrality"
"2863","michael k of ca sez side with the public on netneutralitynot big cable"
"2864","this friday eu digichief hdot to meet ministers and sort out the netneutrality thingconnected"
"2865","heystephen o of ny sez fast lanes hurt innovation support netneutrality"
"2866","heyeleanor c of ca wants you to support netneutrality not big cable"
"2867","tim f of ga wants you to support netneutralitynot big cable"
"2868","conservative voters support netneutralitymumtaz s of ca wants to know why you dont too"
"2869","heyroger w of tn sez conservative voters support netneutrality why dont you"
"2870","heys k of de wants to know why you arent siding with millions on netneutrality"
"2871","this friday eu digichief hdot to meet ministers and sort out the netneutrality thingconnectedcontinent"
"2872","heypenny m of md wants to know if you stand with big cable or support netneutrality"
"2873","how does netneutrality relate to sustainability joinandat"
"2874","fast lanes hurt innovationstephanie k of oh sez support netneutrality"
"2875","heypreethum p of fl sez big cable gets billions in subsidies stand with the people netneutrality"
"2876","eu parliament must standnetneutralityeu commission tries to rip citizens off net neutrality"
"2877","heyrene r of ca sez netneutrality should not be partisan its about innovation"
"2878","heywilliam k of or wants to know why you arent siding with millions on netneutrality"
"2879","heyelizabeth s of sc wants to know if you stand with big cable or support netneutrality"
"2880","heybarbara s of ca sez fast lanes hurt innovation support netneutrality"
"2881","heyruth b of az sez netneutrality should not be partisan its about innovation"
"2882","chris f of fl wants you to support netneutralitynot big cable"
"2883","heylilithe m of ca sez you should side with the public on netneutrality not big cable"
"2884","conservative voters support netneutralityevan c of ny wants to know why you dont too"
"2885","involved in netneutralitylanguage revised amp we couldnt see it but they did
 
whatilearnedtoday"
"2886","heywillard m of va wants you to support netneutrality not big cable"
"2887","heymarie h of ca sez you should side with the public on netneutrality not big cable"
"2888","eu parliament must standnetneutralityeu commission tries to rip citizens off net neutrality"
"2889","heysharalynn r of co wants to know if you stand with big cable or support netneutrality"
"2890","mark s of ny sez side with the public on netneutralitynot big cable"
"2891","free marketers dont shill for cable monopoliesrandall d of ca sez support netneutrality"
"2892","how does netneutrality relate to sustainability joinandat"
"2893","eu parliament must standnetneutralityeu commission tries to rip citizens off net neutrality"
"2894","you are still in time to take action tonetneutrality"
"2895","kayleigh h of ca wants you to support netneutralitynot big cable"
"2896","free marketers dont shill for cable monopolieskimberly t of wv sez support netneutrality"
"2897","eu parliament must standnetneutralityeu commission tries to rip citizens off net neutrality"
"2898","eu parliament must standnetneutralityeu commission tries to rip citizens off net neutrality"
"2899","ryan k of pa wants you to support netneutralitynot big cable"
"2900","eu parliament must standnetneutralityeu commission tries to rip citizens off net neutrality"
"2901","heytheresa o of ca sez you should side with the public on netneutrality not big cable"
"2902","judi w of ny wants you to support netneutralitynot big cable"
"2903","heyfred p of oh sez big cable gets billions in subsidies stand with the people netneutrality"
"2904","heyjay f of wa sez free marketers dont shill for cable monopolies netneutrality"
"2905","heystacie v of me wants to know if you stand with big cable or support netneutrality"
"2906","eu parliament must standnetneutralityeu commission tries to rip citizens off net neutrality"
"2907","heyphelena c of oh wants to know why you arent siding with millions on netneutrality"
"2908","eu parliament must standnetneutralityeu commission tries to rip citizens off net neutrality"
"2909","heyjulius k of ny sez netneutrality should not be partisan its about innovation"
"2910","heykevin o of nj sez conservative voters support netneutrality why dont you"
"2911","heyw k of pa sez netneutrality should not be partisan its about innovation"
"2912","heyjames a of ms sez strong netneutrality enables innovation"
"2913","fast lanes hurt innovationvictor c of fl sez support netneutrality"
"2914","heysondra g of co sez free marketers dont shill for cable monopolies netneutrality"
"2915","heychris g of mo sez free marketers dont shill for cable monopolies netneutrality"
"2916","heyjosh w of ca wants to know why you arent siding with millions on netneutrality"
"2917","do you stand with big cable or support netneutralitycynthia l of ny wants to know"
"2918","do you stand with big cable or support netneutralitynicholas b of tx wants to know"
"2919","heystephen w of mn sez conservative voters support netneutrality why dont you"
"2920","heymargaret b of oh sez fast lanes hurt innovation support netneutrality"
"2921","heystacy w of wi sez conservative voters support netneutrality why dont you"
"2922","heynancy b of tn sez you should side with the public on netneutrality not big cable"
"2923","fast lanes hurt innovationisaac c of ny sez support netneutrality"
"2924","heydavid l of ca sez conservative voters support netneutrality why dont you"
"2925","heyrose b of va wants you to support netneutrality not big cable"
"2926","heystan l of pa sez netneutrality should not be partisan its about innovation"
"2927","heyandy m of ny wants to know why you arent siding with millions on netneutrality"
"2928","heychris m of ri wants to know why you arent siding with millions on netneutrality"
"2929","heyphil d of oh sez fast lanes hurt innovation support netneutrality"
"2930","brad f of ct wants you to support netneutralitynot big cable"
"2931","fccs new netneutrality rules have derailed attempt to update communications act
 internet telecommunications web"
"2932","aaron m of nh wants you to support netneutralitynot big cable"
"2933","heyray h of ga wants to know why you arent siding with millions on netneutrality"
"2934","nrasays eu netneutrality debate confuses openinternet amp other ipbased services provided outside internet"
"2935","cicada d of nc sez side with the public on netneutralitynot big cable"
"2936","heyjohn h of pa sez conservative voters support netneutrality why dont you"
"2937","heygregory h of pa sez big cable gets billions in subsidies stand with the people netneutrality"
"2938","heyjim l of sc wants you to support netneutrality not big cable"
"2939","heyjo h of ca sez conservative voters support netneutrality why dont you"
"2940","rosemary c of pa wants you to support netneutralitynot big cable"
"2941","paul n of or wants you to support netneutralitynot big cable"
"2942","molly h of wa wants you to support netneutralitynot big cable"
"2943","heyrebecca m of pa wants to know if you stand with big cable or support netneutrality"
"2944","heypeter j of 
 sez big cable gets billions in subsidies stand with the people netneutrality"
"2945","heymarylin h of fl wants you to support netneutrality not big cable"
"2946","fast lanes hurt innovationwilliam m of pa sez support netneutrality"
"2947","tcotnetneutrality support cableisrael pjnet constitution tgdndead"
"2948","heylinda b of ne sez fast lanes hurt innovation support netneutrality"
"2949","heymarko c of 
 sez free marketers dont shill for cable monopolies netneutrality"
"2950","heyilene m of ca sez free marketers dont shill for cable monopolies netneutrality"
"2951","free marketers dont shill for cable monopoliesjim t of ca sez support netneutrality"
"2952","conservative voters support netneutralitypreston w of wa wants to know why you dont too"
"2953","heyangela m of co sez netneutrality should not be partisan its about innovation"
"2954","occupyinternet eu commission tries to rip citizens off net neutrality parisjunethnetneutrality"
"2955","heygiavanni v of fl sez free marketers dont shill for cable monopolies netneutrality"
"2956","free marketers dont shill for cable monopolieschristopher r of ca sez support netneutrality"
"2957","heyvalerie h of oh sez conservative voters support netneutrality why dont you"
"2958","netneutralityis outstories"
"2959","natasha b of tn sez side with the public on netneutralitynot big cable"
"2960","heyanthony b of nm sez strong netneutrality enables innovation"
"2961","in
a
world 
without 
netneutralitynetzneutralität
 
breitbandbroadband is a decision
ツ"
"2962","we support netneutrality"
"2963","heymae b of nc sez conservative voters support netneutrality why dont you"
"2964","heyeugene b of wa sez fast lanes hurt innovation support netneutrality"
"2965","heyneil w of ny sez big cable gets billions in subsidies stand with the people netneutrality"
"2966","heyben t of nc sez netneutrality is the only way for a free market of internet services"
"2967","heystuart b of wa sez netneutrality should not be partisan its about innovation"
"2968","fast lanes hurt innovationjennifer c of fl sez support netneutrality"
"2969","heywesley b of nj wants to know if you stand with big cable or support netneutrality"
"2970","heydan o of wa wants to know why you arent siding with millions on netneutrality"
"2971","heydarise w of or sez netneutrality is the only way for a free market of internet services"
"2972","heyboril i of fl sez strong netneutrality enables innovation"
"2973","conservative voters support netneutralityerick p of ny wants to know why you dont too"
"2974","thomas o of ct wants you to support netneutralitynot big cable"
"2975","david c of nj wants you to support netneutralitynot big cable"
"2976","fast lanes hurt innovationjennifer s of mo sez support netneutrality"
"2977","heygerald a of il sez big cable gets billions in subsidies stand with the people netneutrality"
"2978","heydan t of tx sez big cable gets billions in subsidies stand with the people netneutrality"
"2979","heyconstance s of ca wants to know why you arent siding with millions on netneutrality"
"2980","heyjudi m of co sez you should side with the public on netneutrality not big cable"
"2981","do you stand with big cable or support netneutralityelizabeth w of tx wants to know"
"2982","heymarlene y of wa wants to know if you stand with big cable or support netneutrality"
"2983","we dont support netneutrality 
explainervideo savetheinternet internet india trai openin"
"2984","free marketers dont shill for cable monopoliescamille g of ca sez support netneutrality"
"2985","heyemily s of ny sez fast lanes hurt innovation support netneutrality"
"2986","we dont support netneutrality 
explainervideo savetheinternet internet india trai openin"
"2987","heyroberta b of mn sez netneutrality is the only way for a free market of internet services"
"2988","free marketers dont shill for cable monopoliesrichard j of co sez support netneutrality"
"2989","we dont support netneutrality 
explainervideo savetheinternet internet india trai openinternet flipkart"
"2990","conservative voters support netneutralitymichael j of ny wants to know why you dont too"
"2991","heymiguel c of nj sez netneutrality should not be partisan its about innovation"
"2992","heygerald t of tx sez conservative voters support netneutrality why dont you"
"2993","conservative voters support netneutralitymike b of tx wants to know why you dont too"
"2994","heydennis g of or sez free marketers dont shill for cable monopolies netneutrality"
"2995","do you stand with big cable or support netneutralitylori g of ia wants to know"
"2996","heycelia r of ca sez conservative voters support netneutrality why dont you"
"2997","free marketers dont shill for cable monopoliesedith c of ma sez support netneutrality"
"2998","heynichole b of wa wants to know why you arent siding with millions on netneutrality"
"2999","heyrebecca m of fl wants you to support netneutrality not big cable"
"3000","heyregina g of or sez netneutrality should not be partisan its about innovation"
"3001","michael b of mi wants you to support netneutralitynot big cable"
"3002","fast lanes hurt innovationceleste w of tx sez support netneutrality"
"3003","do you stand with big cable or support netneutralitykate s of ny wants to know"
"3004","heylouis r of ma sez conservative voters support netneutrality why dont you"
"3005","heyjohn m of 
 sez netneutrality is the only way for a free market of internet services"
"3006","do you stand with big cable or support netneutralitysam h of oh wants to know"
"3007","free marketers dont shill for cable monopoliesshannon z of tx sez support netneutrality"
"3008","how does netneutrality relate to sustainability joinandat"
"3009","heymichael w of in wants you to support netneutrality not big cable"
"3010","redscarebot red storm rising rt adv no mr oettinger netneutrality is realism not socialism dutch"
"3011","justin d of ca wants you to support netneutralitynot big cable"
"3012","jim c of tx sez side with the public on netneutralitynot big cable"
"3013","conservative voters support netneutralitymoe k of nj wants to know why you dont too"
"3014","heylisa r of oh wants to know if you stand with big cable or support netneutrality"
"3015","chrissy k of ut wants you to support netneutralitynot big cable"
"3016","heypat h w of 
 sez fast lanes hurt innovation support netneutrality"
"3017","free marketers dont shill for cable monopoliesmelissa k of ga sez support netneutrality"
"3018","heysteve c of or sez fast lanes hurt innovation support netneutrality"
"3019","heyjohn j of ga sez strong netneutrality enables innovation"
"3020","rick f of wi wants you to support netneutralitynot big cable"
"3021","heysarah g j of mi sez netneutrality should not be partisan its about innovation"
"3022","no mr oettinger netneutrality is realism not socialism dutch"
"3023","fast lanes hurt innovationmark a of wa sez support netneutrality"
"3024","do you stand with big cable or support netneutralitywilliam b of ny wants to know"
"3025","heysharon d of co sez netneutrality is the only way for a free market of internet services"
"3026","free marketers dont shill for cable monopoliesmeade m of ok sez support netneutrality"
"3027","susan w of pa sez side with the public on netneutralitynot big cable"
"3028","free marketers dont shill for cable monopoliesstephen g of az sez support netneutrality"
"3029","free marketers dont shill for cable monopoliesscott l of or sez support netneutrality"
"3030","heyjoseph d of ga sez netneutrality is the only way for a free market of internet services"
"3031","free marketers dont shill for cable monopoliesnikki s of ca sez support netneutrality"
"3032","heyandrew s of or sez netneutrality is the only way for a free market of internet services"
"3033","heyrichard g of nj wants to know why you arent siding with millions on netneutrality"
"3034","do you stand with big cable or support netneutralitysusan k of ia wants to know"
"3035","heymichael a b of ma wants to know why you arent siding with millions on netneutrality"
"3036","heybetty r of nv sez you should side with the public on netneutrality not big cable"
"3037","heykirman t of wa sez conservative voters support netneutrality why dont you"
"3038","heygreg p of wa wants you to support netneutrality not big cable"
"3039","heycatherine a of ma sez big cable gets billions in subsidies stand with the people netneutrality"
"3040","heykai m of ca sez free marketers dont shill for cable monopolies netneutrality"
"3041","heyann s of tx sez strong netneutrality enables innovation"
"3042","conservative voters support netneutralitymike m of wa wants to know why you dont too"
"3043","heykati k of ca sez netneutrality should not be partisan its about innovation"
"3044","heywayne d of ca sez netneutrality is the only way for a free market of internet services"
"3045","kendra l of wa sez side with the public on netneutralitynot big cable"
"3046","heywalter l a of ny wants to know if you stand with big cable or support netneutrality"
"3047","free marketers dont shill for cable monopoliesmarilyn s of co sez support netneutrality"
"3048","heyjonathan a of in sez you should side with the public on netneutrality not big cable"
"3049","do you stand with big cable or support netneutralitymatthew r of ut wants to know"
"3050","heyrafael r of wi sez strong netneutrality enables innovation"
"3051","netneutralityopenlibreis outstories"
"3052","fast lanes hurt innovationmarlene y of nj sez support netneutrality"
"3053","heyjay g of pa wants you to support netneutrality not big cable"
"3054","free marketers dont shill for cable monopoliessteven k of ny sez support netneutrality"
"3055","heyrobyn m of il wants to know if you stand with big cable or support netneutrality"
"3056","heyjon g of ne wants to know why you arent siding with millions on netneutrality"
"3057","heyjesse b of or sez strong netneutrality enables innovation"
"3058","ms sandra s of il sez side with the public on netneutralitynot big cable"
"3059","heymarla c of ca sez netneutrality should not be partisan its about innovation"
"3060","joyce d of me sez side with the public on netneutralitynot big cable"
"3061","heycolin e of nh wants to know if you stand with big cable or support netneutrality"
"3062","heystephanie l of md sez big cable gets billions in subsidies stand with the people netneutrality"
"3063","heysean g of ny sez you should side with the public on netneutrality not big cable"
"3064","heywanda s of or sez netneutrality should not be partisan its about innovation"
"3065","heyrobert t of ca wants to know why you arent siding with millions on netneutrality"
"3066","do you stand with big cable or support netneutralitymary lynn c of oh wants to know"
"3067","netneutrality is still pending hope its not procorporates"
"3068","heymichael v of fl sez big cable gets billions in subsidies stand with the people netneutrality"
"3069","heytheresa h of wi sez netneutrality should not be partisan its about innovation"
"3070","heycurt b of ia sez strong netneutrality enables innovation"
"3071","sherry n of or wants you to support netneutralitynot big cable"
"3072","heypatricia r of nm wants to know if you stand with big cable or support netneutrality"
"3073","heypauline w of ri sez you should side with the public on netneutrality not big cable"
"3074","heyalexandra r of il sez big cable gets billions in subsidies stand with the people netneutrality"
"3075","do you stand with big cable or support netneutralityruth s of az wants to know"
"3076","heylarry w of mi sez you should side with the public on netneutrality not big cable"
"3077","conservative voters support netneutralityroy b of ga wants to know why you dont too"
"3078","do you stand with big cable or support netneutralitymary d of nm wants to know"
"3079","heypaul s of mn sez strong netneutrality enables innovation"
"3080","heydawn j of co wants you to support netneutrality not big cable"
"3081","heydon d of ny sez free marketers dont shill for cable monopolies netneutrality"
"3082","heyadam g of tx sez netneutrality should not be partisan its about innovation"
"3083","heykaren l of il sez conservative voters support netneutrality why dont you"
